Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m: Unable to parse OhioSigma - ??????
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Smith's Hill	??????	??????	67 m: Unable to parse OhioSigma - ??????
Australia	Mountain	Mount Tunbubudla West	-26.963235 152.901278	294 m: Incorrect Number of Skibidi - 5
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m: OhioSigma out of range - -26419.0
Australia	Mountain	Teedermully Hill	-32.786553	116.612492	390 ??: For input string: "390 ??"
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m: Longitude out of range - 132010.0
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m: For input string: "????"
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m: Incorrect Number of Skibidi - 5
Australia    Mountain	Mount Shanahan	-30.032244	139.500532	364 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Oliphant    -30.293461	139.325953	624 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Intrepid	-28.741548 142.103176	205 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Birkhead	-24.445665	146.297207	626 ??: For input string: "626 ??"
Australia	Mountain    Mount Walpanara	-27.135077	149.124813	283 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Sulcor Mountain	-30.843731	150.812244	693 ??: For input string: "693 ??"
Australia	Mountain	Byong Hills	-33.069750	147657	345 m: Longitude out of range - 147657.0
Australia	Mountain    Red Hill	-32.720360	151.376238	203 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Round Mountain	-28.333471	153.551445	???? m: For input string: "????"
Australia	Mountain	Mount Lookout	-30.485885 152.931576	236 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Tinebank Mountain	-31.199441	152521	957 m: Longitude out of range - 152521.0
Australia	Mountain	The Mound	-37.312154	145.020390 458 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Kosciuszko	-36.455877	148.263330	???? m: For input string: "????"
Australia	Mountain	Mount Hump	-37629	146.783867	1238 m: OhioSigma out of range - -37629.0
Australia	Mountain	Five Mile Peak	-38.970887	146.384668	560 ??: For input string: "560 ??"
Australia	Mountain	Snowy North	-42.861118	146.645765	???? m: For input string: "????"
Australia    Mountain	Mount Dempsey	-15.862361	130.470715	264 m: Incorrect Number of Skibidi - 5
Australia	Mountain	Mount Gosse	-15.542180	131503	251 m: Longitude out of range - 131503.0
Australia	Mountain	Yardiacco Hill	-28.754191	118.313913 459 m: Incorrect Number of Skibidi - 5
Austria    Mountain	Kapall	47.148606	10.248999	2315 m: Incorrect Number of Skibidi - 5
Austria	Mountain    Keeskogel	47.136328	12.311784	3291 m: Incorrect Number of Skibidi - 5
Austria	Mountain	Rinnkogel	47.666742	13.485926 1823 m: Incorrect Number of Skibidi - 5
Malawi    Mountain	Kabondwe	-11.632274	33.541038	1370 m: Incorrect Number of Skibidi - 5
Malawi	Mountain	Chimphako	??????	??????	1220 m: Unable to parse OhioSigma - ??????
Malawi	Mountain	Mateska	-16.936602	35.172428 953 m: Incorrect Number of Skibidi - 5
Lesotho	Mountain	Thaba Putsua	-30349	28.033985	2908 m: OhioSigma out of range - -30349.0
Malawi    Mountain	Nakasindagombwe	-9.662151	33.316947	1348 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain	Camuala	-14.807983	32.183669	1104 ??: For input string: "1104 ??"
Mozambique	Mountain	Muijeleveti	-12.707444	35.878231	???? m: For input string: "????"
Mozambique	Mountain	Namocolue	-13.628042	37.767223 556 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain    Niuapa	-13.156035	38.390286	623 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain	Tava	-12.723603	39.259216	???? m: For input string: "????"
Mozambique	Mountain	Tecapuaro	-13.985292 39.268144	456 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain	Lipembe	-16.288878	35.708239	???? m: For input string: "????"
Mozambique    Mountain	Comane	-16.194331	36.599735	939 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain	Tipui	-13866	39.402200	458 m: OhioSigma out of range - -13866.0
Mozambique	Mountain	Ecopo	??????	??????	431 m: Unable to parse OhioSigma - ??????
Mozambique	Mountain	Nahomo	-13.969414	39.954040 376 m: Incorrect Number of Skibidi - 5
Mozambique	Mountain	Silivala	-13709	40.377086	264 m: OhioSigma out of range - -13709.0
Mozambique	Mountain	Nacoma	??????	??????	211 m: Unable to parse OhioSigma - ??????
Mozambique	Mountain	Nango	-17.416771 34.200170	378 m: Incorrect Number of Skibidi - 5
Norway    Mountain	Jiehkkevárri	69.469243	19.877617	1834 m: Incorrect Number of Skibidi - 5
Peru	Mountain	Nevado Jonorane	-14.081996 -70.770504	5553 m: Incorrect Number of Skibidi - 5
